ticket_id,customer_company,issue_description
TKT001,บริษัท ไทยพาณิชย์ดิจิทัล จำกัด,ระบบ Cloud ของบริษัทล่มกะทันหัน ไม่สามารถเข้าถึงข้อมูลสำคัญได้ ต้องการผู้เชี่ยวชาญด้าน Cloud Architecture มาวิเคราะห์และแก้ไขโดยด่วน
TKT002,บริษัท กรุงเทพอินโนเวชั่น จำกัด,พบการโจมตีระบบเครือข่ายจากภายนอก ข้อมูลลูกค้าอาจรั่วไหล ต้องการทีม Cybersecurity มาตรวจสอบและปิดช่องโหว่โดยทันที
TKT003,บริษัท สยามเทคโนโลยี จำกัด,ต้องการออกแบบระบบ Cloud ใหม่ทั้งหมดเพื่อรองรับการขยายตัวของธุรกิจในปีหน้า โดยต้องคำนึงถึงความปลอดภัยและความพร้อมใช้งานสูง
TKT004,ธนาคารออมสินดิจิทัล,ระบบ Kubernetes Cluster หยุดทำงานกะทันหัน ส่งผลให้บริการออนไลน์ทุกประเภทใช้งานไม่ได้ ต้องการความช่วยเหลือเร่งด่วน
TKT005,บริษัท แอดวานซ์ โลจิสติกส์ จำกัด,ระบบฐานข้อมูลทำงานช้ามาก Query บางตัวใช้เวลานานกว่า 10 นาที ส่งผลกระทบต่อการให้บริการลูกค้าอย่างรุนแรง
TKT006,บริษัท นอร์ทสตาร์ คอนซัลติ้ง จำกัด,ต้องการผู้เชี่ยวชาญด้าน Cloud Architecture มาช่วยประเมินและวางแผนการย้ายระบบ On-Premise ทั้งหมดขึ้น Cloud ภายใน 3 เดือน
TKT007,บริษัท อีสเทิร์น ดาต้า จำกัด,ต้องการวิเคราะห์ข้อมูลยอดขายย้อนหลัง 3 ปี เพื่อสร้าง Dashboard สำหรับผู้บริหาร พร้อมระบบรายงานอัตโนมัติ
TKT008,บริษัท ไทยรุ่งเรือง อุตสาหกรรม จำกัด,ระบบ CI/CD Pipeline ทำงานผิดพลาด ทำให้ไม่สามารถ Deploy โค้ดใหม่ได้ ส่งผลให้การพัฒนาซอฟต์แวร์หยุดชะงัก
TKT009,บริษัท เซ็นทรัล ฟินเทค จำกัด,ตรวจพบการเจาะระบบ Cybersecurity อย่างซับซ้อน มีการพยายาม Penetration เข้าสู่ระบบหลักขององค์กร ต้องการผู้เชี่ยวชาญเร่งด่วน
TKT010,บริษัท วิชั่น พร็อพเพอร์ตี้ จำกัด,ลูกค้าร้องเรียนว่าระบบ CRM ของบริษัทไม่แสดงข้อมูลที่ถูกต้อง ทำให้ทีมขายติดต่อลูกค้าผิดพลาดบ่อยครั้ง
TKT011,บริษัท เมโทรไลน์ คอมมิวนิเคชั่น จำกัด,ต้องการปรึกษาและเจรจาสัญญาบริการซอฟต์แวร์ระยะยาว 5 ปี มูลค่าสูง ต้องการทีมที่มีทักษะการเจรจาและเข้าใจเทคนิคด้าน IT
TKT012,บริษัท ยูนิตี้ แมนูแฟคเจอริ่ง จำกัด,Server Linux หลักเกิดข้อผิดพลาดระดับ Kernel ทำให้ระบบผลิตหยุดชะงักทั้งหมด ต้องการผู้เชี่ยวชาญมาแก้ไขโดยด่วน
TKT013,บริษัท ไพบูลย์ เอ็นเนอร์จี จำกัด,ต้องการ Cloud Architecture ที่ปลอดภัยสูงสุดสำหรับระบบควบคุมพลังงาน ซึ่งต้องเป็นไปตามมาตรฐานความปลอดภัยระดับชาติ
TKT014,บริษัท สมาร์ทโฮม เทคโนโลยี จำกัด,ระบบ Terraform Scripts ทำงานผิดพลาดระหว่างการสร้าง Infrastructure ใหม่ ทำให้ทรัพยากรบน Cloud ถูกสร้างซ้ำและเกิดค่าใช้จ่ายสูงผิดปกติ
TKT015,บริษัท เพรสทีจ รีเทล กรุ๊ป จำกัด,ทีมขายต้องการฝึกอบรมและ Presentation เกี่ยวกับผลิตภัณฑ์ใหม่ให้กับลูกค้าองค์กรขนาดใหญ่ รวมถึงต้องการสคริปต์การเจรจาต่อรองที่มีประสิทธิภาพ
TKT016,บริษัท อัลฟา ไบโอเทค จำกัด,ต้องการพัฒนา Python Script สำหรับประมวลผลข้อมูลงานวิจัยจำนวนมากโดยอัตโนมัติ เชื่อมต่อกับฐานข้อมูลกลางและส่งรายงานทุกคืน
TKT017,บริษัท ทรัพย์ไพศาล การเงิน จำกัด,ระบบ Network มีปัญหาด้านความปลอดภัย พบ Traffic ที่น่าสงสัยจากภายนอก ต้องการการตรวจสอบและเสริมความแข็งแกร่งให้ระบบ
TKT018,บริษัท ดีไซน์ สเปซ สตูดิโอ จำกัด,ระบบ Monitoring แจ้งเตือนผิดพลาดตลอดเวลาทั้งที่ระบบทำงานปกติ ต้องการปรับแต่ง Threshold และ Alert Rules ใหม่ทั้งหมด
TKT019,บริษัท โกลเดน ฮาร์เวสต์ อะกริ จำกัด,ต้องการออกแบบและพัฒนาระบบจัดการข้อมูลการเกษตรบน Cloud เพื่อให้เกษตรกรเข้าถึงข้อมูลได้แบบ Real-time ผ่านมือถือ
TKT020,บริษัท ไทยแอร์เวย์ โซลูชั่นส์ จำกัด,ต้องการจัดการเจรจาต่อรองสัญญาจัดซื้อซอฟต์แวร์มูลค่าหลายล้านบาท พร้อม Presentation แผนการติดตั้งระบบต่อคณะกรรมการบริษัท
TKT021,บริษัท สุวรรณภูมิ ทรานสปอร์ต จำกัด,ระบบ CI/CD หยุดทำงานกะทันหันหลังอัปเกรด ทำให้ไม่สามารถ Deploy แอปพลิเคชันได้ มีผลกระทบต่อการให้บริการลูกค้า
TKT022,บริษัท เอเชีย พาวเวอร์ กริด จำกัด,ต้องการผู้เชี่ยวชาญด้าน Cybersecurity มาทำ Security Audit ระบบโครงสร้างพื้นฐานทั้งหมด และจัดทำรายงานเพื่อนำเสนอผู้ถือหุ้น
TKT023,บริษัท คลาวด์เนทีฟ โซลูชั่น จำกัด,ต้องการคำปรึกษาเกี่ยวกับการออกแบบสถาปัตยกรรม Cloud แบบ Multi-Region เพื่อรองรับลูกค้าทั่วเอเชียตะวันออกเฉียงใต้
TKT024,บริษัท เฟิร์สคลาส อีเลิร์นนิ่ง จำกัด,ระบบฐานข้อมูลนักเรียนเกิดความเสียหาย ข้อมูลการสอบของนักเรียนหลายพันคนอาจสูญหาย ต้องการกู้คืนข้อมูลโดยเร่งด่วน
TKT025,บริษัท ดิจิทัล เฮลท์แคร์ จำกัด,ต้องการวิเคราะห์ข้อมูลผู้ป่วยขนาดใหญ่เพื่อสร้างโมเดลทำนายโรค พร้อม Dashboard สำหรับแพทย์ใช้งานแบบ Real-time
TKT026,บริษัท ฟิวเจอร์ มีเดีย กรุ๊ป จำกัด,ระบบ Linux Server สำหรับ Streaming Media ล่ม ลูกค้าผู้ใช้งานกว่าแสนคนไม่สามารถใช้บริการได้ ต้องการแก้ไขด่วนที่สุด
TKT027,บริษัท อินโนเวท ฟู้ด เทค จำกัด,ทีมขายต้องการเครื่องมือ CRM ใหม่และการฝึกอบรมการใช้งาน รวมถึงต้องการกลยุทธ์การเจรจาต่อรองกับลูกค้าขนาดใหญ่
TKT028,บริษัท เนชั่นแนล ไซเบอร์เซค จำกัด,พบช่องโหว่ระดับวิกฤตในระบบความปลอดภัย ต้องการทีม Cybersecurity มาทำ Emergency Response และ Patch ระบบทันที
TKT029,บริษัท สตาร์ทอัพ แล็บ จำกัด,ต้องการออกแบบ System Architecture สำหรับแพลตฟอร์ม SaaS ใหม่ที่รองรับผู้ใช้ได้ 1 ล้านคนพร้อมกัน โดยมีต้นทุนต่ำที่สุด
TKT030,บริษัท ริเวอร์ไซด์ ก่อสร้าง จำกัด,ต้องการ Presentation สรุปผลการดำเนินโครงการ IT ประจำปีต่อผู้บริหารระดับสูง พร้อมแผนงานปีหน้าที่ต้องการงบประมาณเพิ่มเติม
